wavelength,y_bar
360,3.917e-06
361,4.39358e-06
362,4.9296e-06
363,5.53214e-06
364,6.20824e-06
365,6.965e-06
366,7.81322e-06
367,8.76734e-06
368,9.83984e-06
369,1.10432e-05
370,1.239e-05
371,1.38864e-05
372,1.55573e-05
373,1.7443e-05
374,1.95838e-05
375,2.202e-05
376,2.48396e-05
377,2.80413e-05
378,3.1531e-05
379,3.52152e-05
380,3.9e-05
381,4.28264e-05
382,4.69146e-05
383,5.15896e-05
384,5.71764e-05
385,6.4e-05
386,7.23442e-05
387,8.22122e-05
388,9.35082e-05
389,0.000106136
390,0.00012
391,0.000134984
392,0.000151492
393,0.000170208
394,0.000191816
395,0.000217
396,0.000246907
397,0.00028124
398,0.00031852
399,0.000357267
400,0.000396
401,0.000433715
402,0.000473024
403,0.000517876
404,0.000572219
405,0.00064
406,0.00072456
407,0.0008255
408,0.00094116
409,0.00106988
410,0.00121
411,0.00136209
412,0.00153075
413,0.00172037
414,0.00193532
415,0.00218
416,0.0024548
417,0.002764
418,0.0031178
419,0.0035264
420,0.004
421,0.00454624
422,0.00515932
423,0.00582928
424,0.00654616
425,0.0073
426,0.00808651
427,0.00890872
428,0.00976768
429,0.0106644
430,0.0116
431,0.0125732
432,0.0135827
433,0.0146297
434,0.0157151
435,0.01684
436,0.0180074
437,0.0192145
438,0.0204539
439,0.0217182
440,0.023
441,0.0242946
442,0.0256102
443,0.0269586
444,0.0283513
445,0.0298
446,0.0313108
447,0.0328837
448,0.0345211
449,0.0362257
450,0.038
451,0.0398467
452,0.041768
453,0.043766
454,0.0458427
455,0.048
456,0.0502437
457,0.052573
458,0.0549806
459,0.0574587
460,0.06
461,0.062602
462,0.0652775
463,0.0680421
464,0.0709111
465,0.0739
466,0.077016
467,0.0802664
468,0.0836668
469,0.0872328
470,0.09098
471,0.0949176
472,0.0990458
473,0.103367
474,0.107885
475,0.1126
476,0.117532
477,0.122674
478,0.127993
479,0.133453
480,0.13902
481,0.144676
482,0.150469
483,0.156462
484,0.162718
485,0.1693
486,0.176243
487,0.183558
488,0.191274
489,0.199418
490,0.20802
491,0.21712
492,0.226735
493,0.236857
494,0.247481
495,0.2586
496,0.270185
497,0.282294
498,0.29505
499,0.308578
500,0.323
501,0.338402
502,0.354686
503,0.371699
504,0.389287
505,0.4073
506,0.42563
507,0.44431
508,0.463394
509,0.48294
510,0.503
511,0.523569
512,0.544512
513,0.56569
514,0.586965
515,0.6082
516,0.629346
517,0.650307
518,0.670875
519,0.690842
520,0.71
521,0.728185
522,0.745464
523,0.761969
524,0.777837
525,0.7932
526,0.80811
527,0.822496
528,0.836307
529,0.849492
530,0.862
531,0.873811
532,0.884962
533,0.895494
534,0.905443
535,0.91485
536,0.923735
537,0.932092
538,0.939923
539,0.947225
540,0.954
541,0.960256
542,0.966007
543,0.971261
544,0.976022
545,0.9803
546,0.984092
547,0.987418
548,0.990313
549,0.992812
550,0.99495
551,0.996711
552,0.998098
553,0.999112
554,0.999748
555,1
556,0.999857
557,0.999305
558,0.998325
559,0.996899
560,0.995
561,0.992601
562,0.989743
563,0.986444
564,0.982724
565,0.9786
566,0.974084
567,0.969171
568,0.963857
569,0.958135
570,0.952
571,0.94545
572,0.938499
573,0.931163
574,0.923458
575,0.9154
576,0.907006
577,0.898277
578,0.889205
579,0.879782
580,0.87
581,0.859861
582,0.849392
583,0.838622
584,0.827581
585,0.8163
586,0.804795
587,0.793082
588,0.781192
589,0.769155
590,0.757
591,0.744754
592,0.732422
593,0.720004
594,0.707496
595,0.6949
596,0.682219
597,0.669472
598,0.656674
599,0.643845
600,0.631
601,0.618155
602,0.605314
603,0.592476
604,0.579638
605,0.5668
606,0.553961
607,0.541137
608,0.528353
609,0.515632
610,0.503
611,0.490469
612,0.47803
613,0.465678
614,0.453403
615,0.4412
616,0.42908
617,0.417036
618,0.405032
619,0.393032
620,0.381
621,0.368918
622,0.356827
623,0.344777
624,0.332818
625,0.321
626,0.309338
627,0.29785
628,0.286594
629,0.275624
630,0.265
631,0.254763
632,0.24489
633,0.235334
634,0.226053
635,0.217
636,0.208162
637,0.199549
638,0.191155
639,0.182974
640,0.175
641,0.167223
642,0.159646
643,0.152278
644,0.145126
645,0.1382
646,0.1315
647,0.125025
648,0.118779
649,0.112769
650,0.107
651,0.101476
652,0.0961886
653,0.091123
654,0.0862649
655,0.0816
656,0.0771206
657,0.0728255
658,0.0687101
659,0.0647698
660,0.061
661,0.0573962
662,0.053955
663,0.0506738
664,0.0475496
665,0.04458
666,0.0417587
667,0.039085
668,0.0365638
669,0.0342005
670,0.032
671,0.0299626
672,0.0280766
673,0.0263294
674,0.0247081
675,0.0232
676,0.0218008
677,0.0205011
678,0.0192811
679,0.0181207
680,0.017
681,0.0159038
682,0.0148372
683,0.0138107
684,0.0128348
685,0.01192
686,0.0110683
687,0.0102734
688,0.00953331
689,0.00884616
690,0.00821
691,0.00762378
692,0.00708542
693,0.00659148
694,0.00613848
695,0.005723
696,0.00534306
697,0.0049958
698,0.0046764
699,0.00438008
700,0.004102
701,0.00383845
702,0.0035891
703,0.00335422
704,0.00313409
705,0.002929
706,0.00273814
707,0.00255988
708,0.00239324
709,0.00223727
710,0.002091
711,0.00195359
712,0.00182458
713,0.00170358
714,0.00159019
715,0.001484
716,0.0013845
717,0.00129127
718,0.00120409
719,0.00112274
720,0.001047
721,0.00097659
722,0.000911109
723,0.000850133
724,0.000793238
725,0.00074
726,0.000690083
727,0.00064331
728,0.000599496
729,0.000558455
730,0.00052
731,0.000483914
732,0.000450053
733,0.000418345
734,0.000388718
735,0.0003611
736,0.000335383
737,0.00031144
738,0.000289166
739,0.000268454
740,0.0002492
741,0.000231302
742,0.000214686
743,0.000199288
744,0.000185048
745,0.0001719
746,0.000159778
747,0.000148604
748,0.000138302
749,0.000128792
750,0.00012
751,0.000111859
752,0.000104322
753,9.73356e-05
754,9.08459e-05
755,8.48e-05
756,7.91467e-05
757,7.3858e-05
758,6.8916e-05
759,6.43027e-05
760,6e-05
761,5.59819e-05
762,5.22256e-05
763,4.87184e-05
764,4.54475e-05
765,4.24e-05
766,3.9561e-05
767,3.69151e-05
768,3.44487e-05
769,3.21482e-05
770,3e-05
771,2.79912e-05
772,2.61136e-05
773,2.43602e-05
774,2.27246e-05
775,2.12e-05
776,1.97786e-05
777,1.84529e-05
778,1.72169e-05
779,1.60646e-05
780,1.499e-05
781,1.39873e-05
782,1.30516e-05
783,1.21782e-05
784,1.13625e-05
785,1.06e-05
786,9.88588e-06
787,9.2173e-06
788,8.59236e-06
789,8.00913e-06
790,7.4657e-06
791,6.95957e-06
792,6.488e-06
793,6.0487e-06
794,5.6394e-06
795,5.2578e-06
796,4.90177e-06
797,4.56972e-06
798,4.26019e-06
799,3.97174e-06
800,3.7029e-06
801,3.45216e-06
802,3.2183e-06
803,3.0003e-06
804,2.79714e-06
805,2.6078e-06
806,2.43122e-06
807,2.26653e-06
808,2.11301e-06
809,1.96994e-06
810,1.8366e-06
811,1.71223e-06
812,1.59623e-06
813,1.48809e-06
814,1.38731e-06
815,1.2934e-06
816,1.20582e-06
817,1.12414e-06
818,1.04801e-06
819,9.77058e-07
820,9.1093e-07
821,8.49251e-07
822,7.91721e-07
823,7.3809e-07
824,6.8811e-07
825,6.4153e-07
826,5.9809e-07
827,5.57575e-07
828,5.19808e-07
829,4.84612e-07
830,4.5181e-07
