wavelength,m_bar
704,0.000272834
705,0.000253417
706,0.000235265
707,0.000218331
708,0.000202574
709,0.000187948
710,0.000174402
711,0.000161878
712,0.000150305
713,0.000139612
714,0.000129734
715,0.000120608
716,0.000112176
717,0.000104373
718,9.71383e-05
719,9.04202e-05
720,8.41716e-05
721,7.83538e-05
722,7.29425e-05
723,6.79164e-05
724,6.32542e-05
725,5.89349e-05
726,5.4936e-05
727,5.12291e-05
728,4.77872e-05
729,4.45862e-05
730,4.16049e-05
731,3.88245e-05
732,3.62302e-05
733,3.38086e-05
734,3.15474e-05
735,2.94354e-05
736,2.74634e-05
737,2.56268e-05
738,2.39217e-05
739,2.23432e-05
740,2.0886e-05
741,1.95424e-05
742,1.8299e-05
743,1.71423e-05
744,1.60611e-05
745,1.50458e-05
746,1.40893e-05
747,1.31899e-05
748,1.23462e-05
749,1.15569e-05
750,1.082e-05
751,1.01334e-05
752,9.49367e-06
753,8.89736e-06
754,8.34135e-06
755,7.82271e-06
756,7.33865e-06
757,6.88612e-06
758,6.46228e-06
759,6.06462e-06
760,5.69093e-06
761,5.33942e-06
762,5.00929e-06
763,4.69984e-06
764,4.41034e-06
765,4.13998e-06
766,3.88772e-06
767,3.65186e-06
768,3.4307e-06
769,3.22278e-06
770,3.02683e-06
771,2.84192e-06
772,2.66795e-06
773,2.50491e-06
774,2.35267e-06
775,2.211e-06
776,2.07946e-06
777,1.957e-06
778,1.84258e-06
779,1.73528e-06
780,1.63433e-06
781,1.5391e-06
782,1.44932e-06
783,1.36478e-06
784,1.28526e-06
785,1.21054e-06
786,1.14038e-06
787,1.07446e-06
788,1.01247e-06
789,9.5413e-07
790,8.9917e-07
791,8.47379e-07
792,7.98635e-07
793,7.52832e-07
794,7.09857e-07
795,6.69594e-07
796,6.31907e-07
797,5.96604e-07
798,5.63495e-07
799,5.32408e-07
800,5.03187e-07
801,4.75686e-07
802,4.49753e-07
803,4.25249e-07
804,4.0205e-07
805,3.80046e-07
806,3.59156e-07
807,3.39356e-07
808,3.20633e-07
809,3.02966e-07
810,2.86329e-07
811,2.70687e-07
812,2.5598e-07
813,2.42147e-07
814,2.2913e-07
815,2.16878e-07
816,2.05338e-07
817,1.94449e-07
818,1.84155e-07
819,1.74407e-07
820,1.65158e-07
821,1.56373e-07
822,1.48031e-07
823,1.40117e-07
824,1.32615e-07
825,1.25508e-07
826,1.18781e-07
827,1.12416e-07
828,1.06398e-07
829,1.00711e-07
830,9.53411e-08
